,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Lincoln Ave & Winona St,5,1,0,0,0,1,5,12,22,5,17,13,13,12,16,15,38,26,25,21,10,3,8,7
Lincoln Park Conservatory,16,7,0,0,3,10,11,44,50,54,41,91,160,173,164,128,167,147,84,63,40,28,28,10
Lincolnwood Dr & Central St,0,0,0,0,0,0,0,5,2,3,5,2,8,8,5,6,2,4,10,0,2,3,1,0
Lockwood Ave & Wrightwood Ave,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,2,2,2,1,0,0
Loomis Blvd & 84th St,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,4,2,0,1,0,0,2
Loomis St & 89th St,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1,5,2,2,0,1,0,0,0
Loomis St & Archer Ave,2,0,3,0,0,2,4,4,6,5,8,17,10,15,12,15,11,17,17,6,14,5,4,3
Loomis St & Jackson Blvd,4,2,1,0,0,7,47,55,64,21,26,34,44,34,32,56,42,59,61,34,13,21,14,1
Loomis St & Lexington St,15,11,7,6,1,8,28,76,123,107,103,106,124,124,120,89,112,187,191,139,101,71,62,43
Malcolm X College Vaccination Site,1,0,0,0,0,0,0,0,2,3,4,14,12,8,14,6,38,8,7,11,5,1,9,6
Manor Ave & Leland Ave,3,1,0,0,0,2,4,7,9,8,14,12,12,21,35,15,19,19,20,12,8,5,2,8
Maplewood Ave & 59th St,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2
Maplewood Ave & Peterson Ave,3,2,2,1,0,0,0,2,6,2,3,2,3,1,0,4,7,5,1,7,1,4,3,3
Marine Dr & Ainslie St,12,2,1,1,3,3,6,25,25,26,49,78,61,83,67,78,73,102,94,45,32,21,11,10
Marquette Ave & 79th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquette Ave & 89th St,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,2,4,0,1,0,0,0,0
Meade Ave & Diversey Ave,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0
Menard Ave & Division St,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,1,0,0,0,0,0
Michigan Ave & 113th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan Ave & 71st St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2
Michigan Ave & 8th St,37,7,12,4,8,9,43,49,96,119,108,93,90,100,125,161,159,182,142,152,86,97,80,56
Michigan Ave & Jackson Blvd,27,16,7,2,0,4,13,24,69,41,70,78,117,113,102,100,158,157,115,84,66,51,50,40
Michigan Ave & Lake St,73,29,13,1,0,15,64,89,97,93,108,157,180,150,153,173,287,246,151,107,97,83,71,82
Michigan Ave & Oak St,31,17,4,6,2,27,48,103,130,177,251,245,365,402,399,426,586,600,490,391,227,111,75,52
Michigan Ave & Pearson St,12,4,0,1,0,5,26,21,41,49,50,85,88,94,84,98,113,121,101,93,47,41,30,6
Michigan Ave & Washington St,40,18,13,20,3,17,65,107,135,100,123,127,186,132,179,184,282,404,213,162,115,55,69,56
Mies van der Rohe Way & Chicago Ave,10,7,0,2,2,8,40,192,79,70,64,94,122,100,118,157,129,149,124,94,40,36,20,16
Milwaukee Ave & Grand Ave,45,25,14,7,1,8,41,57,113,57,54,60,80,81,73,80,107,193,167,99,75,83,62,59
Morgan St & 18th St,9,8,3,2,0,13,34,45,45,30,26,41,33,41,31,47,48,61,61,52,27,35,20,23
Morgan St & 31st St,2,3,2,2,1,6,12,19,36,15,19,23,22,25,16,25,31,31,26,36,22,13,7,6
Morgan St & Pershing Rd,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,2,1,2,0,0,0,1,3
Narragansett & McLean,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,2,0,0,0
Normal Ave & Archer Ave,1,0,0,0,3,8,12,8,8,8,6,8,7,5,8,10,8,7,5,11,2,3,1,3
Oak Park & Wellington,0,0,0,0,0,0,0,4,0,1,1,2,0,1,2,2,5,3,6,0,3,5,0,0
Oakley Ave & Irving Park Rd,4,2,1,1,1,4,6,27,10,8,11,10,20,7,16,10,17,24,15,12,4,8,7,4
Ogden Ave & Chicago Ave,17,9,8,2,3,9,47,38,86,41,61,61,67,55,59,55,72,129,87,60,51,24,27,20
Panama Ave & Grace St,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkside Ave & Armitage Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Paulina St & 18th St,9,2,2,0,11,2,4,9,31,23,27,32,26,30,28,28,48,45,35,33,25,16,23,22
Paulina St & Flournoy St,0,2,0,0,0,1,6,37,14,19,19,35,40,56,47,152,238,148,40,33,20,19,5,8
Paulina St & Howard St,6,9,2,7,1,1,10,4,7,11,9,12,10,12,8,11,23,22,25,10,15,5,12,13
Paulina St & Montrose Ave,4,3,1,2,7,8,30,24,10,14,19,19,40,22,23,21,44,53,38,20,20,18,13,2
Peoria St & Jackson Blvd,22,6,8,12,2,22,55,43,121,66,72,83,96,93,83,81,134,158,137,85,72,66,53,30
Perry Ave & 108th Pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Perry Ave & 69th St,0,0,0,0,0,0,0,1,1,2,2,2,1,1,0,1,1,0,1,1,2,0,3,0
Phillips Ave & 79th St,3,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,3,0,5,1,1,3,0,0
Pine Grove Ave & Irving Park Rd,18,12,8,7,4,13,34,30,91,57,81,82,96,82,110,118,117,181,187,118,79,58,42,23
Pine Grove Ave & Waveland Ave,9,13,9,9,5,11,57,52,112,105,112,142,149,107,135,111,125,202,227,160,94,53,23,23
Plainfield & Irving Park,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Princeton Ave & Garfield Blvd,1,2,0,2,0,0,0,1,1,0,8,0,3,3,4,2,4,10,3,4,7,0,2,5
Pulaski & 52nd,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1
Pulaski Rd & 21st St,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,3,1,2,1,1,0
Pulaski Rd & Eddy St (Temp),0,2,0,1,0,0,0,5,4,7,8,2,2,5,3,7,3,4,6,6,1,2,2,3
Racine Ave & 109th Pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
