,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Racine Ave & 18th St,30,20,8,5,0,1,3,7,18,9,22,20,27,40,42,54,50,67,80,81,55,42,53,54
Racine Ave & 35th St,5,3,1,0,3,0,1,4,1,1,2,3,8,7,15,5,18,14,11,6,4,11,16,7
Racine Ave & 65th St,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Racine Ave & Fullerton Ave,35,34,16,11,10,9,12,31,61,81,62,94,118,113,147,122,158,219,209,187,156,125,98,77
Ritchie Ct & Banks St,24,17,5,5,6,1,11,38,36,27,47,67,69,79,98,94,121,152,187,110,89,42,46,20
Rockwell St & 63rd St,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,2,0,2,1
Rush St & Superior St,29,6,4,3,0,30,43,146,123,59,79,72,101,92,109,105,116,136,127,103,62,43,37,35
S Aberdeen St & W 106th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sangamon St & Washington Blvd,16,6,2,1,0,0,6,26,38,44,46,48,62,59,50,56,80,100,68,60,57,29,23,16
Sawyer Ave & Irving Park Rd,3,0,0,0,0,0,0,4,2,1,3,2,6,4,4,10,8,7,7,9,21,13,6,1
Sayre & Diversey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0
Sedgwick St & Schiller St,8,8,2,5,0,2,3,13,13,10,14,26,18,24,21,34,38,47,56,100,43,22,20,6
Sedgwick St & Webster Ave,17,20,12,3,4,8,24,53,56,44,56,51,70,85,96,105,114,152,154,109,84,58,67,35
Seeley Ave & Garfield Blvd,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,0,1,3,3,0
Sheffield Ave & Fullerton Ave,50,44,8,15,6,25,85,157,158,116,100,152,161,122,154,160,178,285,242,182,144,119,85,93
Sheffield Ave & Willow St,33,9,6,5,7,1,3,18,26,26,45,61,79,86,50,80,95,158,141,115,67,39,37,26
Sheffield Ave & Wrightwood Ave,60,23,11,14,2,9,13,37,54,36,60,90,93,93,87,92,126,210,250,208,139,119,99,81
Spaulding Ave & 16th St,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0
